,Date,Tweets
0,2017-06-14,#reliance  #Communications Chairman Anil Ambani decides not to draw any #salary 4 current financial year #stocks https://t.co/2t1toVkIQx Sell #RELIANCE at 1348 target 1336/1324/1312 sl 1368. Subscribe our services at just Rs.2500/M. For Trial Type STOCKS &amp; send to 9042203900.
1,2017-06-15,"Stocks to focus for Intraday Long #Hdil, #Prestige, #Erosmedia, #HUL, #Reliance, #Pnb,   Get expert #TechnicalView https://t.co/bWLFEvhewc"
2,2017-06-21,"Home finance listing: #Reliance Capital gets NCLT nod for #Shareholders meet https://t.co/yllupbqyyB via @FinancialXpress
#Stocks #Trading"
3,2017-06-22,"#Reliance Communication jumps over 6% on monetisation of #Realty #Assets https://t.co/HBIchGugB9 via @FinancialXpress
#Stocks #Trading In Focus: #Reliance Comm, #L&amp;T and #Zee Ent among the top #stocks likely to be in focus in today's trading session
https://t.co/6i1YLB35aV"
4,2017-06-28,"Stocks to focus for Intraday Long #Abirla, #Havells, #IciciBank, #Mothersonsumi, #Reliance.Get expert #TechnicalView https://t.co/5qgcAevMr6 Stocks to sell on Rise::
#HDFCBank
#HDFC
#Reliance Industries"
5,2017-07-04,#Reliance 1413 done.....thou I exited early! #scalping #futures #nifty #stocks #Reliance short 1418.2 SL3pts #trading #nifty #stocks #FK
6,2017-07-05,"#SwastikaUpdates #Reliance became the most valuable company. 
#StockMarketUpdate #sharemarket #ShareMarketUpdate #BSE #MCX #Stocks #Shares https://t.co/VMXSfvZMQ3 Stocks to focus for Intraday Long #Chambalfert, #Tataelxsi, #Amarajabat,  #Reliance. Get expert #TechnicalView https://t.co/jnbnkAyUS5"
7,2017-07-06,"Stocks to focus for Intraday Long #Gruh, #Sail,  #Aiaeng, #Biocon, #Havells, #Reliance. Get expert #TechnicalView https://t.co/It66nKtYEY"
8,2017-07-07,#reliance Flag &amp; Pole https://t.co/RXTEhpMCoD | #Stocks #Forex #Commodities #Trading #Traders https://t.co/iCEy0pvYH0
9,2017-07-10,"RCom shares gain on debt-reduction plans 
#Stocks #RCom #NSE #Reliance https://t.co/O47Q7Bv5TQ Stocks to focus for Intraday Long #DBL, #GEPIL, #Uflex, #Kec, #Divislab, #Reliance. Get expert #TechnicalView https://t.co/l3F7DGX1Gt"
