Date,Headline
2021-06-13,"The national capital recorded 255 new Covid-19 cases and 23 fatalities, the lowest since April 7, on Sunday, while the positivity rate stood at 0.35 per cent, the health department said.            		  "
2021-06-13,"Union minister Ravi Shankar Prasad asked the Congress leadership to clear its stand on remarks of Digvijay Singh that his party will have a ""relook"" at Article 370 revocation if returns to power.            		  "
2021-06-13,"With petrol and diesel prices climbing to record high, Oil Minister Dharmendra Pradhan asked Cong governments to cut sales tax but did not say if BJP-ruled states would do the same.            		  "
2021-06-13,The re-emergence of China as a leading global power is considered to be one of the most significant geopolitical events of recent times            		  
2021-06-13,"IDFC FIRST Bank is offering compensation equivalent to four times of the CTC, continuation of salary for two years to the families of the employees who lost their lives due to the covid says MD.            		  "
2021-06-13,"Online math learning platform Cuemath  looks to venture in 30 new markets, and is keen to go for another, bigger round of funding later this year to support its expansion  according to its founder.            		  "
2021-06-13,"BJP would have slandered even B R Ambedkar, as pro-Pakistan had he been alive, PDP president Mehbooba Mufti said amidst criticism of Cong leader Digvijaya Singh on his remarks on Article 370.            		  "
2021-06-13,"The Renault Nissan Automotive India Private Ltd and its workers union have created a history by going in for an arbitration to settle wage revision and other aspects, said a union official.            		  "
2021-06-13,"State-run NTPC has floated a global Expression of Interest (EoI) to set up two projects, standalone fuel-cell based backup power system, standalone fuel-cell based microgrid system at NTPC premises.            		  "
2021-06-13,"Congress leader and Leader of the Opposition (LoP) in Uttarakhand Assembly, Indira Hridayesh passed away at Uttarakhand Sadan in Delhi on Sunday.            		  "
2021-06-13,Prime Minister Narendra Modi on Sunday condoled the demise of Congress leader Indira Hridayesh.            		  
2021-06-13,"The Delhi government on Sunday said weekly markets, barring those in containment zones, will be allowed to open between 4 PM and 10 PM for one week.            		  "
2021-06-13,The Assam government on Sunday asked all its employees who have received two doses of Covid-19 vaccine to join offices from Monday even as a partial  lockdown across the state will be in force.            		  
2021-06-13,"On the client side, the bank is largely comfortable as 85 per cent of retail customers work with companies rated and above , where job losses have been low            		  "
2021-06-13,"In line with the proposed deal, Axis Bank is likely to raise its stake in Max Life Insurance to about 20 per cent over the next 12-18 months, said the insurance company's CEO Prashant Tripathy said.            		  "
2021-06-13,Retail investors will get a chance to participate in good quality IPOs as several important names including LIC are on the upcoming IPOs list to raise as much as Rs 1.12 lakh crore.            		  
